Nr;Name;Wahlb. ohne Sperrv.;Wahlb. mit Sperrv.;Wahlb. nach � 24 II EuWO;Wahlb. insges.;W�hler;dav. mit Wahlschein;Ung�lt. Stimmen;G�ltige Stimmen;CDU;SPD;GR�NE;AfD;FDP;DIE LINKE;FREIE W�HLER;PIRATEN;Tierschutzpartei;�DP;NPD;Die PARTEI;FAMILIE;Volksabstimmung;BP;MLPD;DKP;SGP;TIERSCHUTZ hier!;Tierschutzallianz;B�ndnis C;BIG;BGE;DIE DIREKTE!;DiEM25;III. Weg;Die Grauen;DIE RECHTE;DIE VIOLETTEN;LIEBE;DIE FRAUEN;Graue Panther;LKR;MENSCHLICHE WELT;NL;�koLinX;Die Humanisten;PARTEI F�R DIE TIERE;Gesundheitsforschung;VOLT
Endergebnis;Europawahl 26.05.2019         ;66174;11000;11;77185;42835;9977;636;42199;11262;6926;8676;5495;3320;1643;1024;256;378;415;82;911;136;53;54;56;14;5;70;60;85;318;30;25;111;5;59;27;25;17;58;53;53;29;13;22;45;84;52;252
101;Rathaus HN, Trauzimmer        ;558;117;1;676;194;6;2;192;51;32;42;21;11;12;3;2;0;1;1;8;0;0;0;0;0;0;0;0;2;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2
102;Rathaus HN, B�rgeramt, Z.0.08 ;573;92;0;665;235;4;4;231;43;33;55;26;12;19;6;4;1;1;0;7;1;0;0;0;0;0;0;0;0;11;0;0;0;0;0;1;0;0;0;1;1;1;0;1;0;2;0;5
103;M�nchsee-Gymnasium, Raum 7    ;695;116;0;811;340;0;8;332;63;59;66;47;23;22;3;4;2;3;1;17;0;1;0;4;0;0;0;1;1;5;0;0;0;0;1;0;0;0;0;0;0;0;0;1;3;0;0;5
104;St�dtische Museen, Deutschhof,;565;83;0;648;220;1;4;216;54;25;46;26;17;13;3;2;4;1;0;9;1;0;0;0;0;0;0;1;0;5;0;0;2;0;0;0;0;0;0;1;1;0;0;0;1;2;1;1
105;Techn. Rathaus, Foyer         ;1031;175;2;1208;420;2;10;410;98;53;98;47;33;29;3;4;4;7;1;4;0;0;0;4;0;0;1;1;3;5;4;0;2;0;0;0;0;0;2;0;1;0;0;1;0;2;0;3
106;Robert-Mayer-Gymnasium, Turnha;783;139;0;922;344;7;3;341;78;47;83;41;22;22;1;1;4;7;0;13;2;2;0;1;0;0;0;0;0;3;1;0;1;0;0;1;0;1;0;0;0;0;0;1;1;0;2;6
107;St�dt. Ki.garten, Roseggerstr.;807;116;0;923;330;3;3;327;60;51;73;48;21;35;2;7;2;2;1;12;0;0;1;1;1;0;0;1;1;6;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
108;ARKUS Kinderhaus, Happelstr. 1;815;114;0;929;330;3;4;326;55;39;81;46;20;28;11;4;1;2;1;11;2;0;0;3;1;0;0;0;1;11;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;4
109;Techn. Rathaus, Gro�er Saal   ;757;104;0;861;232;0;3;229;41;29;55;39;8;18;5;1;1;3;0;10;2;0;0;0;0;0;0;1;0;7;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;3
110;Agentur f�r Arbeit, Rosenbergs;776;123;0;899;354;0;10;344;104;69;45;56;21;18;9;3;1;1;2;1;1;0;0;0;0;0;1;0;0;1;1;0;3;0;2;1;0;0;0;0;0;0;0;0;2;1;0;1
111;G.-v.-Schmoller-Schule, Z. 009;755;139;0;894;322;0;4;318;67;59;72;29;30;19;10;2;2;1;0;11;1;1;0;1;0;0;1;0;0;2;0;0;2;0;0;1;0;2;1;0;0;0;0;0;2;1;0;1
112;G.-v.-Schmoller-Schule, Z. 011;949;91;1;1041;390;4;11;379;61;67;70;62;22;26;5;1;2;2;1;22;1;1;0;1;0;0;0;0;0;19;0;0;0;0;1;0;0;1;2;1;3;0;1;0;1;0;0;6
113;Wilhelm-Maybach-Schule, Mensa,;814;104;0;918;315;0;6;309;54;36;70;40;19;14;1;2;6;5;6;17;1;0;1;1;0;0;1;1;0;22;1;0;1;0;0;1;0;0;0;2;0;0;0;0;2;0;0;5
114;Ki.garten Wartbergstr. 32 Z.1 ;714;108;0;822;338;1;7;331;72;50;76;50;15;18;9;3;9;2;2;8;3;0;2;0;0;0;2;0;1;2;1;0;1;0;0;0;0;0;1;2;0;0;0;0;0;0;1;1
115;Ki.garten Wartbergstr. 32 Z.2 ;642;72;1;715;266;0;7;259;52;51;50;35;14;16;3;1;0;4;0;14;0;0;1;3;0;0;0;1;0;6;0;0;2;0;0;0;0;0;1;1;0;1;0;0;0;0;0;3
116;Th.-Morus-Haus, Goethestr. 75 ;685;104;0;789;323;3;5;318;74;54;74;35;23;16;5;0;4;5;0;13;1;0;0;0;0;0;1;1;0;7;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
117;Fritz-Ulrich-Schule, Z. 01, Ka;739;127;0;866;357;0;6;351;94;42;99;25;29;13;8;3;6;5;0;13;0;0;1;0;0;0;0;1;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3
118;Fritz-Ulrich-Schule, Z. 02, Ka;965;268;0;1233;490;2;1;489;142;66;114;45;55;20;9;2;5;6;0;11;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;1;2;1;0;0;1;2;0;0;3
119;Silcherschule Zimmer U.1      ;709;230;0;939;434;2;7;427;148;52;101;37;45;15;5;0;1;3;0;5;0;0;0;0;0;0;0;2;1;3;0;0;2;1;0;1;0;0;0;0;0;0;1;0;0;2;0;2
201;KiGa Becker-Franck I, Ellw.Str;344;38;1;383;98;0;3;95;18;19;13;14;8;5;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;2
202;Wartbergschule, Zimmer E02    ;643;87;0;730;312;3;3;309;81;46;56;49;28;13;5;1;2;5;1;7;2;1;1;0;0;0;0;0;1;5;0;1;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0
203;Lindenparkschule, Speisesaal  ;758;189;0;947;468;6;5;463;126;71;129;37;43;15;11;1;5;7;0;12;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;3;0;1;0;0;0;0;0
204;Wartbergschule, Zimmer E03    ;632;83;0;715;276;0;3;273;70;47;50;33;22;7;12;1;3;2;0;3;0;0;0;0;0;1;0;2;1;6;1;1;0;0;0;0;1;2;0;0;0;0;0;0;0;1;3;4
205;Wartbergschule, Zimmer E04    ;577;92;0;669;313;1;2;311;61;56;70;37;31;16;5;0;4;2;1;7;0;0;1;1;1;0;2;1;1;2;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;2;2;4
206;Wilhelm-Busch-Kindergarten    ;736;203;0;939;500;3;3;497;144;74;123;46;60;8;10;1;2;5;1;7;2;0;0;0;0;0;2;0;1;7;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0
207;TSG Heilbronn, Schlizstr. 78  ;749;239;0;988;559;0;0;559;194;70;122;43;80;15;6;2;1;2;1;6;1;0;0;0;0;0;0;1;0;3;0;0;2;0;1;0;1;0;1;0;0;0;0;0;0;0;0;7
208;Johannes-Kindergarten A, N�rnb;871;279;0;1150;498;1;2;496;133;58;112;55;81;18;10;3;5;3;0;4;1;0;0;0;0;0;0;1;2;0;0;0;3;0;0;0;1;0;2;0;1;0;0;0;0;0;1;2
209;Katharinenstift, Foyer links  ;505;135;0;640;308;1;5;303;85;40;78;28;39;8;8;1;2;2;0;4;1;1;1;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1
210;Johannes-Kindergarten B, N�rnb;832;249;0;1081;530;5;4;526;187;65;110;57;47;18;8;0;3;7;1;9;1;0;0;0;0;0;1;1;1;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;1;3;1;1
211;Silcherschule, Zimmer U.2     ;606;194;0;800;418;4;4;414;116;52;116;30;46;15;4;1;2;6;0;8;0;0;0;0;0;0;1;0;1;3;1;0;2;0;0;0;0;0;0;1;0;1;0;0;3;2;1;2
212;Ludwig-Pfau-Schule Turnhalle  ;840;100;0;940;426;1;5;421;144;54;65;74;23;11;5;1;2;1;1;11;3;1;1;3;0;0;1;0;0;9;0;1;0;0;2;2;1;0;1;0;0;0;0;0;0;1;0;3
213;Kath. Gem.haus Moosbruggerstr.;916;208;0;1124;434;4;2;432;98;74;102;57;35;23;16;3;1;3;0;7;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;2;0;0;0;1;0;1;0;1;4
214;Feuerwehr, Beethovenstr. 29   ;683;107;0;790;380;0;7;373;86;73;82;28;31;21;5;5;0;5;1;13;1;0;0;0;0;0;1;2;3;1;0;0;3;0;0;1;1;0;1;3;3;0;0;2;1;0;0;0
